Congenital cytomegalovirus infection
Cytomegalovirus hepatitis
Cytomegalovirus infection
Cytomegalovirus mononucleosis
Encephalitis cytomegalovirus
Pneumonia cytomegaloviral
Cytomegalovirus chorioretinitis
Cytomegalovirus colitis
Cytomegalovirus duodenitis
Cytomegalovirus enterocolitis
Cytomegalovirus gastritis
Cytomegalovirus oesophagitis
Cytomegalovirus proctocolitis
Cytomegalovirus enteritis
Disseminated cytomegaloviral infection
Cytomegalovirus pancreatitis
Cytomegalovirus gastroenteritis
Cytomegalovirus urinary tract infection
Cytomegalovirus gastrointestinal infection
Cytomegalovirus myocarditis
Cytomegalovirus syndrome
Cytomegalovirus pericarditis
Cytomegalovirus viraemia
Cytomegalovirus mucocutaneous ulcer
Cytomegalovirus myelomeningoradiculitis
Cytomegalovirus test positive
